ImageTaxonName	MorphologyID	Comment	ImageFileName	RelativePath
Fubonidia zia	SV87	specimen 2005a23	fubonidiaGizmoid.gif	fubonidia
Fubonidia zia	SV247	specimen 2005a23	fubonidiaKnobble.gif	fubonidia
Fubonidia zia	SV251	specimen 2005a23	fubonidiaZibinator.gif	fubonidia
Quidnubia maculata	SV87	specimen 2005bc09	quidnubiaGizmoid.gif	quidnubia
Quidnubia maculata	SV247	specimen 2005bc09	quidnubiaKnobble.gif	quidnubia
Quidnubia maculata	SV251	specimen 2005bd77	quidnubiaZibinator.gif	quidnubia
Snorolopa elegans	SV87	specimen 2005q33	snorolopaGizmoid.gif	snorolopa
Snorolopa elegans	SV247	specimen 2005q33	snorolopaKnobble.gif	snorolopa
Snorolopa elegans	SV251	specimen 2005q33	snorolopaZibinator.gif	snorolopa
Zorabynyx yccilida	SV87	specimen 2004an88	zorabynyxGizmoid.gif	zorabynyx
Zorabynyx yccilida	SV247	specimen 2004an88	zorabynyxKnobble.gif	zorabynyx
Zorabynyx similaris	SV251	specimen 2004si12	zorabynyxZibinator.gif	zorabynyx
